date,ttf,nbp,fx,national_grid_commodity_entry,bacton_entry,iuk_be_uk,iuk_commodity_be_uk,gts_exit,fluxys_nl_zee_ocuc,fluxys_commodity,iuk_booked_capacity,iuk_technical_capacity,bacton_booked_entry
05/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
06/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
07/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
08/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
09/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
10/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
11/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
12/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
13/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
14/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
15/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
16/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
17/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
18/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
19/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
20/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
21/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
22/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
23/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
24/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
25/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
26/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
27/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
28/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
29/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
30/09/2022,170,300,0.85,0.269625387,2.716768847,1.1,0.395368703,0.621935871,0.249527729,0.33879016,59.20471855,59.24335855,0
01/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
02/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
03/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
04/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
05/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
06/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
07/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
08/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
09/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
10/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
11/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
12/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
13/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
14/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
15/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
16/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
17/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
18/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
19/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
20/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
21/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
22/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
23/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
24/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
25/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
26/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
27/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
28/10/2022,170,400,0.85,1.169353581,2.494034831,2.75,0.395368703,0.807216408,0.403083254,0.33879016,35.89093527,59.24335855,0
